"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\ControlEditScreen.jsx", "JavaScript JSX", 0, 0, 778, 0, 0, 0, 9, 64, 851
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\ControlesScreen.jsx", "JavaScript JSX", 0, 0, 308, 0, 0, 0, 6, 19, 333
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\CuadreDiarioScreen.jsx", "JavaScript JSX", 0, 0, 447, 0, 0, 0, 1, 28, 476
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\DetailControlScreen.jsx", "JavaScript JSX", 0, 0, 168, 0, 0, 0, 0, 14, 182
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\DoctorCreateScreen.jsx", "JavaScript JSX", 0, 0, 294, 0, 0, 0, 0, 14, 308
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\DoctorEditScreen.jsx", "JavaScript JSX", 0, 0, 305, 0, 0, 0, 0, 16, 321
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\DoctorListScreen.js", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 13, 129
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\GastoCreateScreen.jsx", "JavaScript JSX", 0, 0, 297, 0, 0, 0, 2, 30, 329
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\GastoEditScreen.jsx", "JavaScript JSX", 0, 0, 318, 0, 0, 0, 22, 30, 370
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\GastoPrintScreen.jsx", "JavaScript JSX", 0, 0, 101, 0, 0, 0, 0, 12, 113
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\HomeScreen.jsx", "JavaScript JSX", 0, 0, 110, 0, 0, 0, 0, 8, 118
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\PacienteCreateScreen.jsx", "JavaScript JSX", 0, 0, 944, 0, 0, 0, 7, 42, 993
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\PacienteEditScreen.jsx", "JavaScript JSX", 0, 0, 1109, 0, 0, 0, 7, 55, 1171
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\PacienteScreen.jsx", "JavaScript JSX", 0, 0, 120, 0, 0, 0, 0, 8, 128
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\PrintConstanciaScreen.jsx", "JavaScript JSX", 0, 0, 44, 0, 0, 0, 0, 7, 51
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\PrintFacturaScreen.jsx", "JavaScript JSX", 0, 0, 130, 0, 0, 0, 0, 7, 137
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\PrintRecipeScreen.jsx", "JavaScript JSX", 0, 0, 44, 0, 0, 0, 0, 7, 51
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\ProfileScreen.jsx", "JavaScript JSX", 0, 0, 147, 0, 0, 0, 0, 8, 155
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\RegisterScreen.jsx", "JavaScript JSX", 0, 0, 134, 0, 0, 0, 0, 8, 142
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\ServicioCreateScreen.jsx", "JavaScript JSX", 0, 0, 221, 0, 0, 0, 0, 20, 241
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\ServicioEditScreen.jsx", "JavaScript JSX", 0, 0, 181, 0, 0, 0, 0, 16, 197
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\SigninScreen.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 0, 7, 82
"c:\NEW_PLAZA\plazadental-v2\frontend\src\store.js", "JavaScript", 0, 132, 0, 0, 0, 0, 0, 10, 142
"c:\NEW_PLAZA\plazadental-v2\frontend\vite.config.js", "JavaScript", 0, 31, 0, 0, 0, 0, 1, 2, 34
"c:\NEW_PLAZA\plazadental-v2\models\control.js", "JavaScript", 0, 106, 0, 0, 0, 0, 0, 6, 112
"c:\NEW_PLAZA\plazadental-v2\models\doctor.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 2, 45
"c:\NEW_PLAZA\plazadental-v2\models\gasto.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\NEW_PLAZA\plazadental-v2\models\paciente.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 3, 100
"c:\NEW_PLAZA\plazadental-v2\models\producto.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 3, 40
"c:\NEW_PLAZA\plazadental-v2\models\servicio.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\NEW_PLAZA\plazadental-v2\models\usuario.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\NEW_PLAZA\plazadental-v2\package.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 28
"c:\NEW_PLAZA\plazadental-v2\routers\controlRouter.js", "JavaScript", 0, 1272, 0, 0, 0, 0, 1, 67, 1340
"c:\NEW_PLAZA\plazadental-v2\routers\doctorRouter.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 11, 119
"c:\NEW_PLAZA\plazadental-v2\routers\gastoRouter.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 14, 148
"c:\NEW_PLAZA\plazadental-v2\routers\pacienteRouter.js", "JavaScript", 0, 262, 0, 0, 0, 0, 32, 16, 310
"c:\NEW_PLAZA\plazadental-v2\routers\productRouter.js", "JavaScript", 0, 286, 0, 0, 0, 0, 5, 27, 318
"c:\NEW_PLAZA\plazadental-v2\routers\servicioRouter.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 11, 123
"c:\NEW_PLAZA\plazadental-v2\routers\userRouter.js", "JavaScript", 0, 159, 0, 0, 0, 0, 0, 14, 173
"c:\NEW_PLAZA\plazadental-v2\server.js", "JavaScript", 0, 37, 0, 0, 0, 0, 1, 9, 47
"c:\NEW_PLAZA\plazadental-v2\utils.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 3, 41
"c:\NEW_PLAZA\plazadental-v2\vercel.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 1, 16
"Total", "-", 88, 5444, 11297, 2225, 5, 50, 317, 1900, 21326
